D:\Projects\ML projects\Siraj self driving\IMG\center_2018_08_23_19_00_06_703.jpg,D:\Projects\ML projects\Siraj self driving\IMG\left_2018_08_23_19_00_06_703.jpg,D:\Projects\ML projects\Siraj self driving\IMG\right_2018_08_23_19_00_06_703.jpg,0,0,0,1.109822E-06
D:\Projects\ML projects\Siraj self driving\IMG\center_2018_08_23_19_00_06_781.jpg,D:\Projects\ML projects\Siraj self driving\IMG\left_2018_08_23_19_00_06_781.jpg,D:\Projects\ML projects\Siraj self driving\IMG\right_2018_08_23_19_00_06_781.jpg,0,0,0,6.487032E-06
D:\Projects\ML projects\Siraj self driving\IMG\center_2018_08_23_19_00_06_861.jpg,D:\Projects\ML projects\Siraj self driving\IMG\left_2018_08_23_19_00_06_861.jpg,D:\Projects\ML projects\Siraj self driving\IMG\right_2018_08_23_19_00_06_861.jpg,0,0,0,1.782022E-06
D:\Projects\ML projects\Siraj self driving\IMG\center_2018_08_23_19_00_06_939.jpg,D:\Projects\ML projects\Siraj self driving\IMG\left_2018_08_23_19_00_06_939.jpg,D:\Projects\ML projects\Siraj self driving\IMG\right_2018_08_23_19_00_06_939.jpg,0,0,0,1.423947E-05
D:\Projects\ML projects\Siraj self driving\IMG\center_2018_08_23_19_00_07_020.jpg,D:\Projects\ML projects\Siraj self driving\IMG\left_2018_08_23_19_00_07_020.jpg,D:\Projects\ML projects\Siraj self driving\IMG\right_2018_08_23_19_00_07_020.jpg,0,0,0,6.427219E-06
D:\Projects\ML projects\Siraj self driving\IMG\center_2018_08_23_19_00_07_099.jpg,D:\Projects\ML projects\Siraj self driving\IMG\left_2018_08_23_19_00_07_099.jpg,D:\Projects\ML projects\Siraj self driving\IMG\right_2018_08_23_19_00_07_099.jpg,0,0,0,7.356899E-06
D:\Projects\ML projects\Siraj self driving\IMG\center_2018_08_23_19_00_07_181.jpg,D:\Projects\ML projects\Siraj self driving\IMG\left_2018_08_23_19_00_07_181.jpg,D:\Projects\ML projects\Siraj self driving\IMG\right_2018_08_23_19_00_07_181.jpg,0,0.2415417,0,0.2123645
D:\Projects\ML projects\Siraj self driving\IMG\center_2018_08_23_19_00_07_258.jpg,D:\Projects\ML projects\Siraj self driving\IMG\left_2018_08_23_19_00_07_258.jpg,D:\Projects\ML projects\Siraj self driving\IMG\right_2018_08_23_19_00_07_258.jpg,0,0.4760814,0,0.4677649
D:\Projects\ML projects\Siraj self driving\IMG\center_2018_08_23_19_00_07_339.jpg,D:\Projects\ML projects\Siraj self driving\IMG\left_2018_08_23_19_00_07_339.jpg,D:\Projects\ML projects\Siraj self driving\IMG\right_2018_08_23_19_00_07_339.jpg,0,0.7179633,0,1.01131
D:\Projects\ML projects\Siraj self driving\IMG\center_2018_08_23_19_00_07_418.jpg,D:\Projects\ML projects\Siraj self driving\IMG\left_2018_08_23_19_00_07_418.jpg,D:\Projects\ML projects\Siraj self driving\IMG\right_2018_08_23_19_00_07_418.jpg,-0.05,0.956305,0,1.836955
D:\Projects\ML projects\Siraj self driving\IMG\center_2018_08_23_19_00_07_497.jpg,D:\Projects\ML projects\Siraj self driving\IMG\left_2018_08_23_19_00_07_497.jpg,D:\Projects\ML projects\Siraj self driving\IMG\right_2018_08_23_19_00_07_497.jpg,-0.25,1,0,2.795552
D:\Projects\ML projects\Siraj self driving\IMG\center_2018_08_23_19_00_07_578.jpg,D:\Projects\ML projects\Siraj self driving\IMG\left_2018_08_23_19_00_07_578.jpg,D:\Projects\ML projects\Siraj self driving\IMG\right_2018_08_23_19_00_07_578.jpg,-0.45,1,0,3.7202
D:\Projects\ML projects\Siraj self driving\IMG\center_2018_08_23_19_00_07_656.jpg,D:\Projects\ML projects\Siraj self driving\IMG\left_2018_08_23_19_00_07_656.jpg,D:\Projects\ML projects\Siraj self driving\IMG\right_2018_08_23_19_00_07_656.jpg,0,1,0,4.642072
D:\Projects\ML projects\Siraj self driving\IMG\center_2018_08_23_19_00_07_737.jpg,D:\Projects\ML projects\Siraj self driving\IMG\left_2018_08_23_19_00_07_737.jpg,D:\Projects\ML projects\Siraj self driving\IMG\right_2018_08_23_19_00_07_737.jpg,0,1,0,5.570327
D:\Projects\ML projects\Siraj self driving\IMG\center_2018_08_23_19_00_07_817.jpg,D:\Projects\ML projects\Siraj self driving\IMG\left_2018_08_23_19_00_07_817.jpg,D:\Projects\ML projects\Siraj self driving\IMG\right_2018_08_23_19_00_07_817.jpg,0,1,0,6.491652
D:\Projects\ML projects\Siraj self driving\IMG\center_2018_08_23_19_00_07_894.jpg,D:\Projects\ML projects\Siraj self driving\IMG\left_2018_08_23_19_00_07_894.jpg,D:\Projects\ML projects\Siraj self driving\IMG\right_2018_08_23_19_00_07_894.jpg,-0.2,1,0,7.397078
D:\Projects\ML projects\Siraj self driving\IMG\center_2018_08_23_19_00_07_974.jpg,D:\Projects\ML projects\Siraj self driving\IMG\left_2018_08_23_19_00_07_974.jpg,D:\Projects\ML projects\Siraj self driving\IMG\right_2018_08_23_19_00_07_974.jpg,-0.4,1,0,8.273236
D:\Projects\ML projects\Siraj self driving\IMG\center_2018_08_23_19_00_08_054.jpg,D:\Projects\ML projects\Siraj self driving\IMG\left_2018_08_23_19_00_08_054.jpg,D:\Projects\ML projects\Siraj self driving\IMG\right_2018_08_23_19_00_08_054.jpg,0,1,0,9.114969
D:\Projects\ML projects\Siraj self driving\IMG\center_2018_08_23_19_00_08_134.jpg,D:\Projects\ML projects\Siraj self driving\IMG\left_2018_08_23_19_00_08_134.jpg,D:\Projects\ML projects\Siraj self driving\IMG\right_2018_08_23_19_00_08_134.jpg,0,1,0,9.987331
D:\Projects\ML projects\Siraj self driving\IMG\center_2018_08_23_19_00_08_214.jpg,D:\Projects\ML projects\Siraj self driving\IMG\left_2018_08_23_19_00_08_214.jpg,D:\Projects\ML projects\Siraj self driving\IMG\right_2018_08_23_19_00_08_214.jpg,0,1,0,10.87253
D:\Projects\ML projects\Siraj self driving\IMG\center_2018_08_23_19_00_08_293.jpg,D:\Projects\ML projects\Siraj self driving\IMG\left_2018_08_23_19_00_08_293.jpg,D:\Projects\ML projects\Siraj self driving\IMG\right_2018_08_23_19_00_08_293.jpg,0,1,0,11.58816
D:\Projects\ML projects\Siraj self driving\IMG\center_2018_08_23_19_00_08_371.jpg,D:\Projects\ML projects\Siraj self driving\IMG\left_2018_08_23_19_00_08_371.jpg,D:\Projects\ML projects\Siraj self driving\IMG\right_2018_08_23_19_00_08_371.jpg,-0.05,1,0,12.60612
D:\Projects\ML projects\Siraj self driving\IMG\center_2018_08_23_19_00_08_452.jpg,D:\Projects\ML projects\Siraj self driving\IMG\left_2018_08_23_19_00_08_452.jpg,D:\Projects\ML projects\Siraj self driving\IMG\right_2018_08_23_19_00_08_452.jpg,-0.25,1,0,13.40688
D:\Projects\ML projects\Siraj self driving\IMG\center_2018_08_23_19_00_08_530.jpg,D:\Projects\ML projects\Siraj self driving\IMG\left_2018_08_23_19_00_08_530.jpg,D:\Projects\ML projects\Siraj self driving\IMG\right_2018_08_23_19_00_08_530.jpg,-0.45,1,0,14.04598
D:\Projects\ML projects\Siraj self driving\IMG\center_2018_08_23_19_00_08_611.jpg,D:\Projects\ML projects\Siraj self driving\IMG\left_2018_08_23_19_00_08_611.jpg,D:\Projects\ML projects\Siraj self driving\IMG\right_2018_08_23_19_00_08_611.jpg,-0.6500001,1,0,15.01336
D:\Projects\ML projects\Siraj self driving\IMG\center_2018_08_23_19_00_08_691.jpg,D:\Projects\ML projects\Siraj self driving\IMG\left_2018_08_23_19_00_08_691.jpg,D:\Projects\ML projects\Siraj self driving\IMG\right_2018_08_23_19_00_08_691.jpg,-0.8500001,1,0,15.68624
D:\Projects\ML projects\Siraj self driving\IMG\center_2018_08_23_19_00_08_772.jpg,D:\Projects\ML projects\Siraj self driving\IMG\left_2018_08_23_19_00_08_772.jpg,D:\Projects\ML projects\Siraj self driving\IMG\right_2018_08_23_19_00_08_772.jpg,-1,1,0,16.33862
D:\Projects\ML projects\Siraj self driving\IMG\center_2018_08_23_19_00_08_854.jpg,D:\Projects\ML projects\Siraj self driving\IMG\left_2018_08_23_19_00_08_854.jpg,D:\Projects\ML projects\Siraj self driving\IMG\right_2018_08_23_19_00_08_854.jpg,0,1,0,17.02516
D:\Projects\ML projects\Siraj self driving\IMG\center_2018_08_23_19_00_08_935.jpg,D:\Projects\ML projects\Siraj self driving\IMG\left_2018_08_23_19_00_08_935.jpg,D:\Projects\ML projects\Siraj self driving\IMG\right_2018_08_23_19_00_08_935.jpg,0,1,0,17.72866
D:\Projects\ML projects\Siraj self driving\IMG\center_2018_08_23_19_00_09_014.jpg,D:\Projects\ML projects\Siraj self driving\IMG\left_2018_08_23_19_00_09_014.jpg,D:\Projects\ML projects\Siraj self driving\IMG\right_2018_08_23_19_00_09_014.jpg,0,1,0,18.53951
D:\Projects\ML projects\Siraj self driving\IMG\center_2018_08_23_19_00_09_091.jpg,D:\Projects\ML projects\Siraj self driving\IMG\left_2018_08_23_19_00_09_091.jpg,D:\Projects\ML projects\Siraj self driving\IMG\right_2018_08_23_19_00_09_091.jpg,0,1,0,19.36514
